Input,Diagnosis
Проявлял отрицательное отношение к новым обучающим программам,8
Избегал участия в тренингах и семинарах по профессиональному развитию,8
Оказывал сопротивление изменениям в сфере личного роста,8
Избегал участия в проектах направленных на профессиональное развитие,8
Проявлял равнодушие к возможностям карьерного роста,8
Избегал освоения новых навыков и технологий в своей области,8
Пренебрегал обратной связью и возможностью улучшения,8
Избегал участия в процессах менторства и обучения молодых специалистов,8
Проявлял апатию к собственному профессиональному росту,8
Избегал участия в программах по развитию лидерских навыков,8
Отказывался от возможности прокачать свои навыки через курсы,8
Проявлял нежелание развиваться в рамках текущей должности,8
Избегал поиска новых вызовов и задач для личного роста,8
Пренебрегал обучением новичков и передачей опыта,8
Оказывал сопротивление использованию новых инструментов и технологий,8
Избегал участия в проектах по внедрению инноваций в компании,8
Проявлял равнодушие к профессиональной реквалификации,8
Отвергал возможность участия в программах корпоративного обучения,8
Избегал обучения иностранным языкам для расширения своих возможностей,8
Проявлял негативное отношение к инициативам по внедрению новых методик работы,8
Избегал участия в процессах самооценки и анализа собственных недостатков,8
Оказывал сопротивление обучению и использованию цифровых инструментов,8
Предпочитал работать в одиночестве,9
Оказывал сопротивление коллективным проектам,9
Проявлял независимость в принятии решений,9
Избегал участия в общих инициативах,9
Предпочитал индивидуальные достижения коллективным,9
Проявлял нежелание делиться информацией и опытом,9
Оказывал сопротивление совместным мероприятиям,9
Предпочитал самостоятельное выполнение задач,9
Избегал сотрудничества с коллегами,9
Проявлял независимость в принятии стратегических решений,9
Отказывался от вовлечения в групповые тренинги,9
Избегал участия в командных мероприятиях,9
Проявлял нежелание давать обратную связь и советы,9
Оказывал сопротивление обмену идеями в рамках команды,9
Предпочитал работать над своими задачами в отдельном пространстве,9
Избегал обсуждения общих стратегических целей,9
Проявлял независимость в выборе методов работы,9
Оказывал сопротивление созданию общих стандартов и правил,9
Предпочитал индивидуальные инициативы командным,9
Проявлял нежелание делиться своими мыслями в группе,9
Избегал участия в общих мероприятиях по корпоративной культуре,9
Проявлял нежелание принимать обратную связь от коллег,9
Избегал участия в общих исследовательских группах,9
Отказывался от вовлечения в коллективные мероприятия по социальной ответственности,9
Проявлял независимость в выборе методов обучения,9
Оказывал сопротивление внедрению общих стандартов безопасности,9
Предпочитал индивидуальные задачи командным,9
Проявлял нежелание совместной работы над общими проектами,9
Избегал участия в коллективных мероприятиях по развитию культуры,9
Отказывался от участия в групповых процессах принятия решений,9
Проявлял независимость в выборе стилей лидерства,9
Оказывал сопротивление принятию общих ценностей в коллективе,9
Предпочитал индивидуальные подходы к решению задач,9
Проявлял нежелание участвовать в групповых программах по развитию навыков,9
Избегал участия в общих процессах обучения и обмена знаниями,9
Оказывал сопротивление установлению общих стандартов профессионального поведения,9
Выражал неуважение к мнению коллег,10
Пренебрегал точкой зрения других участников команды,10
Испытывал нежелание прислушиваться к идеям подчиненных,10
Подавлял мнения отличные от своих,10
Проявлял агрессивное отношение к замечаниям и предложениям коллег,10
Избегал уважительного отношения к культурным и профессиональным различиям,10
Выражал неуважение к советам опытных сотрудников,10
Проявлял нежелание участвовать в обмене знаний и опытом,10
Оказывал сопротивление обратной связи от подчиненных,10
Пренебрегал уважительным отношением к личным пространствам коллег,10
Использовал уничижительные выражения в общении с коллегами,10
Выражал неуважение к совместным усилиям команды,10
Проявлял апатию к успехам и достижениям коллег,10
Избегал признания заслуг и вклада других в общий результат,10
Подавлял идеи сотрудников на совещаниях,10
Проявлял нежелание слушать мнение коллег на совещаниях,10
Оказывал сопротивление инициативам предложенным другими членами команды,10
Пренебрегал уважительным отношением к персональным убеждениям коллег,10
Испытывал нежелание прислушиваться к мнению новых сотрудников,10
Выражал неуважение к представителям других отделов и компаний,10
Проявлял агрессию в коммуникации с коллегами,10
Выражал неуважение к идеям и предложениям не соответствующим собственным,10
Проявлял апатию к коллективным мероприятиям,10
Избегал уважения к профессиональным заслугам коллег,10
Оказывал сопротивление признанию сильных сторон других членов команды,10
Пренебрегал уважительным отношением к инновационным идеям,10
Использовал уничижительные жесты и мимику в общении с коллегами,10
Выражал неуважение к чувствам и эмоциям коллег,10
Проявлял нежелание уважать авторитет других членов команды,10
Оказывал сопротивление внедрению практик уважения в коллективе,10
Пренебрегал уважительным отношением к уровню образования коллег,10
Испытывал нежелание признавать достижения других отделов компании,10
Выражал неуважение к трудовым и культурным особенностям коллег,10
Проявлял апатию к важным событиям в жизни коллег,10
Избегал уважения к частным жизням и личным ценностям коллег,10
Оказывал сопротивление применению практик разрешения конфликтов в коллективе,10
Избегал изменений в рабочих процессах,11
Проявлял нежелание адаптироваться к новым технологиям,11
Отказывался от использования новых инструментов в работе,11
Предпочитал сохранять старые методы вместо принятия инноваций,11
Испытывал нежелание приспосабливаться к новым требованиям,11
Оказывал сопротивление внедрению новых правил и стандартов,11
Пренебрегал необходимостью обучения новым навыкам,11
Избегал участия в проектах по внедрению изменений,11
Предпочитал сохранять старые процессы в ущерб эффективности,11
Проявлял апатию к изменениям в рабочей среде,11
Отказывался от применения новых стратегий в работе,11
Использовал устаревшие методы вместо современных,11
Выражал несогласие с изменением структуры команды,11
Проявлял нежелание рассматривать альтернативные варианты решения задач,11
Оказывал сопротивление пересмотру процессов и процедур,11
Пренебрегал возможностью изменения рабочего графика,11
Избегал принятия новых обязанностей и ролей,11
Предпочитал сохранять текущий порядок вместо принятия перемен,11
Проявлял апатию к новым подходам в решении задач,11
Отказывался от адаптации к изменениям в рыночных условиях,11
Испытывал нежелание обучаться новым бизнес моделям,11
Оказывал сопротивление внедрению новых форм обратной связи,11
Пренебрегал обучением новым стандартам безопасности,11
Избегал принятия новых стандартов поведения в коллективе,11
Предпочитал сохранять традиционные формы взаимодействия,11
Проявлял нежелание адаптироваться к культурным различиям в команде,11
Отказывался от использования современных инструментов коммуникации,11
Испытывал нежелание изменять свой личный стиль работы,11
Оказывал сопротивление внедрению новых методов обучения,11
Пренебрегал возможностью принятия иностранных практик,11
Избегал участия в процессах обновления бизнес процессов,11
Пренебрегал возможностью изменения корпоративной культуры,11
Избегал адаптации к изменениям в законодательстве,11
Проявлял нежелание приспосабливаться к новым требованиям рынка,11
Отказывался от участия в проектах по внедрению технологических новшеств,11
Испытывал нежелание адаптироваться к изменениям в потребительских предпочтениях,11
Изменял свои планы и цели без объяснения,12
Оказывался неустойчивым в принятии решений,12
Поддавался настроению меняя свое отношение к задачам,12
Избегал постоянства в выполнении обязанностей,12
Проявлял непостоянство в поддержке идей и инициатив,12
Оказывался изменчивым в своих профессиональных предпочтениях,12
Изменял свое отношение к сотрудникам без видимых причин,12
Поддавался внешним влияниям меняя свою точку зрения,12
Оказывал сопротивление установлению стабильных рабочих процессов,12
Избегал постоянства в личных отношениях с коллегами,12
Проявлял непостоянство в поддержке общих целей,12
Оказывался изменчивым в своем отношении к корпоративным ценностям,12
Изменял свои обязанности без уведомления руководства,12
Поддавался стрессу меняя свое поведение в коллективе,12
Оказывал сопротивление установлению постоянных стандартов работы,12
Избегал постоянства в выполнении рабочих задач,12
Проявлял непостоянство в своем отношении к клиентам,12
Оказывался изменчивым в своих профессиональных интересах,12
Изменял свои обязательства не предупреждая коллег,12
Поддавался чувствам меняя свое отношение к ситуации,12
Оказывал сопротивление установлению стабильных отношений в команде,12
Избегал постоянства в соблюдении рабочего расписания,12
Проявлял непостоянство в своем отношении к профессиональным стандартам,12
Оказывался изменчивым в своем отношении к различным задачам,12
Изменял свое отношение к проектам в зависимости от обстоятельств,12
Поддавался внешним давлениям меняя свои позиции,12
Оказывал сопротивление созданию стабильной командной динамики,12
Избегал постоянства в своих профессиональных целях,12
Проявлял непостоянство в поддержке новых идей и инициатив,12
Оказывал сопротивление установлению постоянных процессов обучения,12
Изменял свои планы без уведомления коллег,12
Поддавался внутренним колебаниям меняя свое решение,12
Оказывал сопротивление установлению постоянных стандартов качества,12
Избегал постоянства в своем отношении к профессиональным требованиям,12
Проявлял непостоянство в поддержке корпоративных инициатив,12
Оказывал сопротивление установлению стабильных процессов принятия решений,12
Пропускал сроки выполнения задач из за отсутствия плана,13
Оказывался неспособным оценивать объем работ и устанавливать приоритеты,13
Игнорировал важность составления графика рабочих задач,13
Откладывал принятие решений ведя к хаосу в проекте,13
Не уделял достаточного внимания разработке плана действий,13
Пренебрегал установлением сроков выполнения задач,13
Избегал составления подробного плана работы,13
Оказывал сопротивление использованию инструментов таймменеджмента,13
Позволял себе произвольно менять приоритеты задач,13
Проявлял нежелание использовать методы планирования,13
Игнорировал необходимость составления плана перед началом проекта,13
Откладывал составление бюджета из за неумения планировать,13
Не проводил анализ времени затраченного на выполнение задач,13
Пропускал важные сроки из за отсутствия стратегии управления временем,13
Избегал использования техник тайм менеджмента в повседневной работе,13
Оказывал сопротивление внедрению системы контроля времени,13
Не планировал заранее что приводило к срыву сроков,13
Пренебрегал созданием резервного времени для непредвиденных ситуаций,13
Игнорировал необходимость распределения времени на различные этапы проекта,13
Откладывал составление плана действий полагаясь на импровизацию,13
Не уделял достаточного внимания распределению задач по приоритетам,13
Пропускал важные встречи и совещания из за отсутствия плана,13
Избегал определения четких целей и задач на каждый день,13
Оказывал сопротивление использованию ежедневных планеров и списков дел,13
Позволял себе отвлекаться от задач из за неструктурированности плана,13
Пренебрегал распределением времени на стратегические и операционные задачи,13
Игнорировал необходимость оценки времени требуемого на каждую задачу,13
Откладывал составление месячного и годового плана из за нежелания планировать,13
Не разрабатывал стратегии достижения долгосрочных целей,13
Пропускал возможности из за отсутствия плана действий,13
Избегал создания плана для решения конкретных проблем,13
Откладывал разработку стратегии управления временем,13
Не создавал план для решения возникающих проблем,13
Пропускал сроки из за неосознанности важности времени,13
Избегал использования техник планирования для достижения целей,13
Оказывал сопротивление внедрению системы отслеживания времени,13
Утверждал свою точку зрения даже в спорных ситуациях,14
Выражал уверенность в своих решениях несмотря на возражения,14
Проявлял убежденность в правильности своих действий,14
Демонстрировал четкость и самостоятельность в принятии решений,14
Игнорировал сомнения и критику в адрес своих планов,14
Проявлял решимость в достижении своих целей,14
Верил в свои силы и способности без сомнений,14
Утверждал свою правоту в спорных вопросах,14
Выражал уверенность в успешном исходе своих предприятий,14
Демонстрировал стабильность и самоуважение в сложных ситуациях,14
Пренебрегал сомнениями в своей способности решать проблемы,14
Игнорировал возможные риски полагаясь на свою уверенность,14
Выражал убежденность в правильности своих профессиональных решений,14
Проявлял авторитарность в принятии решений,14
Демонстрировал убежденность в своих лидерских качествах,14
Утверждал свою правоту даже если был не в полной уверенности,14
Выражал уверенность в своем профессиональном опыте и знаниях,14
Проявлял убежденность в своей способности влиять на окружающих,14
Игнорировал сомнения в своей компетентности,14
Утверждал свою точку зрения с уверенностью,14
Демонстрировал стойкость и уверенность в критических ситуациях,14
Проявлял убежденность в своих личных качествах и достоинствах,14
Выражал уверенность в своей способности решать сложные задачи,14
Пренебрегал сомнениями в своей способности вести коллектив,14
Игнорировал возможные трудности полагаясь на свою уверенность,14
Утверждал свою готовность к принятию ответственности,14
Демонстрировал убежденность в своем вкладе в успех проектов,14
Проявлял уверенность в своем стиле лидерства,14
Выражал убежденность в своей способности эффективно решать задачи,14
Пренебрегал сомнениями в своей способности управлять сложными ситуациями,14
Игнорировал возможные препятствия считая их небольшими,14
Пренебрегал сомнениями в своей способности достигать поставленных целей,14
Игнорировал возможные сбои в планах полагаясь на свою уверенность,14
Утверждал свою способность адаптироваться к переменам,14
Демонстрировал убежденность в своей способности управлять проектами,14
Проявлял уверенность в своей способности вести переговоры,14
Предпочитал скрывать свои достижения,15
Избегал привлекать внимание к своим личным успехам,15
Оценивал вклад коллег выше своего собственного,15
Стремился к успеху команды скромно оценивая свою роль,15
Избегал выделения своих индивидуальных заслуг,15
Предоставлял другим возможность блистать скрывая свои достижения,15
Оценивал силы команды выше своих личных способностей,15
Предпочитал подчеркивать общий вклад а не свою роль,15
Избегал преувеличения своих успехов,15
Приписывал успехи группы совместным усилиям,15
Предоставлял другим возможность быть в центре внимания,15
Избегал выражения своего влияния давая команде заслуги,15
Поддерживал тихие и не такие видные инициативы,15
Предпочитал действовать в тени не выделяясь,15
Избегал привлечения к себе внимания касательно своих достижений,15
Отказывался от похвалы в свой адрес,15
Поддерживал идею что успех команды важнее индивидуальных личных успехов,15
Предпочитал работать за кулисами оставляя другим лидерство,15
Избегал говорить о своих достижениях,15
Позволял другим занимать видное место в центре внимания,15
Поддерживал концепцию что успех это результат совместных усилий,15
Предоставлял другим возможность выделяться,15
Избегал демонстрации своих личных успехов,15
Стремился к тому чтобы успехи были приписаны всей команде,15
Подчеркивал важность вклада каждого члена команды в том числе своего,15
Предпочитал давать заслуги команде за общий успех,15
Избегал преувеличения своей роли в достижении целей,15
Поддерживал идею что скромность является признаком силы а не слабости,15
Подчеркивал важность коллективных достижений,15
Стремился к созданию атмосферы в команде где каждый чувствует свою важность,15
Поддерживал идею что совместное усилие команды приводит к успеху,15
Предоставлял другим возможность принимать лидерские решения,15
Избегаю подчеркивание своей значимости в достижении целей,15
Поддерживал концепцию что успех – это результат совместных трудов,15
Предпочитал работать в тени обеспечивая успех всей команды,15
